5	Emsian	#E5D075	407.6
5	Pragian	#E5C468	410.8
5	Lochkovian	#E5B75A	419.2
5	Ludfordian	#D9F0DF	425.6
5	Gorstian	#CCECDD	427.4
5	Homerian	#CCEBD1	430.5
5	Sheinwoodian	#BFE6C3	433.4
5	Telychian	#BFE6CF	438.5
5	Aeronian	#B3E1C2	440.8
5	Rhuddanian	#A6DCB5	443.8
5	Hirnantian	#A6DBAB	445.2
5	Katian	#99D69F	453.0
5	Sandbian	#8CD094	458.4
5	Darriwilian	#74C69C	467.3
5	Dapingian	#66C092	470.0
5	Floian	#41B087	477.7
5	Tremadocian	#33A97E	485.4
5	Stage 10	#E6F5C9	489.5
5	Jiangshanian	#D9F0BB	494.0
5	Paibian	#CCEBAE	497.0
5	Guzhangian	#CCDFAA	500.5
5	Drumian	#BFD99D	504.5
5	Wuliuan	#B3D492	509.0
5	Stage 4	#B3CA8E	514.0
5	Stage 3	#A6C583	521.0
5	Stage 2	#A6BA80	529.0
5	Fortunian	#99B575	538.8
